Sample	DAY	SOLUTION	TREATMENT	UF
AD1	1	DI	Digest	Before
AD3	3	DI	Digest	Before
AD5	5	DI	Digest	Before
AD10	10	DI	Digest	Before
AD20	20	DI	Digest	Before
AD1U	1	DI	Digest	After
AD3U	3	DI	Digest	After
AD5U	5	DI	Digest	After
AD10U	10	DI	Digest	After
AD20U	20	DI	Digest	After
AJ1	1	JM	Digest	Before
AJ3	3	JM	Digest	Before
AJ5	5	JM	Digest	Before
AJ10	10	JM	Digest	Before
AJ20	20	JM	Digest	Before
AJ1A	1	JM	Acidic	Before
AJ3A	3	JM	Acidic	Before
AJ5A	5	JM	Acidic	Before
AJ10A	10	JM	Acidic	Before
AJ20A	20	JM	Acidic	Before
AJ1U	1	JM	Digest	After
AJ3U	3	JM	Digest	After
AJ5U	5	JM	Digest	After
AJ10U	10	JM	Digest	After
AJ20U	20	JM	Digest	After
AJ1UA	1	JM	Acidic	After
AJ3UA	3	JM	Acidic	After
AJ5UA	5	JM	Acidic	After
AJ10UA	10	JM	Acidic	After
AJ20UA	20	JM	Acidic	After
AH1	1	HA	Digest	Before
AH3	3	HA	Digest	Before
AH5	5	HA	Digest	Before
AH10	10	HA	Digest	Before
AH20	20	HA	Digest	Before
AH1A	1	HA	Acidic	Before
AH3A	3	HA	Acidic	Before
AH5A	5	HA	Acidic	Before
AH10A	10	HA	Acidic	Before
AH20A	20	HA	Acidic	Before
AH1U	1	HA	Digest	After
AH3U	3	HA	Digest	After
AH5U	5	HA	Digest	After
AH10U	10	HA	Digest	After
AH20U	20	HA	Digest	After
AH1UA	1	HA	Acidic	After
AH3UA	3	HA	Acidic	After
AH5UA	5	HA	Acidic	After
AH10UA	10	HA	Acidic	After
AH20UA	20	HA	Acidic	After
