Sample ID	Date	Time	Analyte Name	Int (Corr)	Conc (Calib)	Calib Units	RSD (Conc)	Repl No1	Date1	Time1	Int (Net)1	Int (Corr)1	Conc (Calib)1	Repl No2	Date2	Time2	Int (Net)2	Int (Corr)2	Conc (Calib)2	Repl No3	Date3	Time3	Int (Net)3	Int (Corr)3	Conc (Calib)3
AD1	12/31/2021	10:44:15 AM	Fe 238.204	54.42856715	-0.005366311	mg/L	1.188541493	1	12/31/2021	10:45:18 AM	22.82452939	58.72618521	-0.005339107	2	12/31/2021	10:45:29 AM	25.74162299	61.64327881	-0.005320642	3	12/31/2021	10:45:40 AM	7.014581622	42.91623744	-0.005439183
AD1	12/31/2021	10:44:15 AM	Ca 317.933	581.6162377	0.030356493	mg/L	3.501904272	1	12/31/2021	10:44:52 AM	624.6226781	606.5867348	0.03154823	2	12/31/2021	10:44:59 AM	592.5052285	574.4692852	0.030015399	3	12/31/2021	10:45:05 AM	581.8286364	563.7926931	0.029505851
AD1	12/31/2021	10:44:15 AM	Mg 285.213	774.1826151	-0.005838377	mg/L	9.006472042	1	12/31/2021	10:44:52 AM	837.6594303	821.0429068	-0.005282752	2	12/31/2021	10:44:59 AM	785.2516122	768.6350888	-0.005904155	3	12/31/2021	10:45:05 AM	749.486373	732.8698496	-0.006328226
AD1	12/31/2021	10:44:15 AM	Al 396.153	1616.38433	0.10915779	mg/L	2.069120734	1	12/31/2021	10:45:13 AM	1678.946051	1669.242867	0.111619533	2	12/31/2021	10:45:24 AM	1615.671339	1605.968155	0.108672685	3	12/31/2021	10:45:35 AM	1583.645151	1573.941967	0.107181152
AD10	12/31/2021	10:49:40 AM	Fe 238.204	47.80605388	-0.005408231	mg/L	1.136173589	1	12/31/2021	10:50:37 AM	22.92788407	58.82953989	-0.005338453	2	12/31/2021	10:50:43 AM	8.15198634	44.05364216	-0.005431983	3	12/31/2021	10:50:50 AM	4.633323765	40.53497958	-0.005454256
AD10	12/31/2021	10:49:40 AM	Ca 317.933	434.9600063	0.023357211	mg/L	5.254040407	1	12/31/2021	10:50:17 AM	480.0919051	462.0559618	0.024650386	2	12/31/2021	10:50:23 AM	449.961846	431.9259027	0.023212406	3	12/31/2021	10:50:29 AM	428.9340978	410.8981545	0.02220884
AD10	12/31/2021	10:49:40 AM	Mg 285.213	513.166194	-0.008933268	mg/L	0.507228766	1	12/31/2021	10:50:17 AM	533.5062961	516.8897727	-0.008889117	2	12/31/2021	10:50:23 AM	525.8702502	509.2537267	-0.008979658	3	12/31/2021	10:50:29 AM	529.9716061	513.3550826	-0.008931028
AD10	12/31/2021	10:49:40 AM	Al 396.153	15343.57211	0.74846443	mg/L	0.719521178	1	12/31/2021	10:50:32 AM	15378.56547	15368.86229	0.749642252	2	12/31/2021	10:50:38 AM	15454.17149	15444.46831	0.753163398	3	12/31/2021	10:50:45 AM	15227.08892	15217.38574	0.742587642
AD10U	12/31/2021	11:09:07 AM	Fe 238.204	94.34715192	-0.005113629	mg/L	0.661270385	1	12/31/2021	11:10:04 AM	62.83102151	98.73267732	-0.005085869	2	12/31/2021	11:10:10 AM	52.49598094	88.39763676	-0.005151289	3	12/31/2021	11:10:16 AM	60.00948587	95.91114169	-0.005103729
AD10U	12/31/2021	11:09:07 AM	Ca 317.933	480.7399477	0.025542094	mg/L	1.037215515	1	12/31/2021	11:09:44 AM	492.4372527	474.4013094	0.025239577	2	12/31/2021	11:09:50 AM	502.769849	484.7339057	0.025732709	3	12/31/2021	11:09:56 AM	501.1205712	483.0846279	0.025653996
AD10U	12/31/2021	11:09:07 AM	Mg 285.213	447.0544304	-0.00971716	mg/L	1.22144846	1	12/31/2021	11:09:44 AM	464.6257185	448.009195	-0.009705839	2	12/31/2021	11:09:50 AM	453.2177113	436.6011879	-0.009841105	3	12/31/2021	11:09:56 AM	473.1694317	456.5529082	-0.009604536
AD10U	12/31/2021	11:09:07 AM	Al 396.153	14663.13452	0.71677489	mg/L	1.290040138	1	12/31/2021	11:09:59 AM	14535.73902	14526.03584	0.71038989	2	12/31/2021	11:10:05 AM	14582.25512	14572.55193	0.712556251	3	12/31/2021	11:10:11 AM	14900.51899	14890.8158	0.72737853
AD1U	12/31/2021	11:03:57 AM	Fe 238.204	96.86154466	-0.005097713	mg/L	2.079510581	1	12/31/2021	11:04:59 AM	78.65437212	114.5560279	-0.004985709	2	12/31/2021	11:05:10 AM	58.86860578	94.7702616	-0.005110951	3	12/31/2021	11:05:21 AM	45.35668862	81.25834443	-0.00519648
AD1U	12/31/2021	11:03:57 AM	Ca 317.933	642.9934199	0.033285767	mg/L	5.532985205	1	12/31/2021	11:04:34 AM	698.7641559	680.7282126	0.035086689	2	12/31/2021	11:04:40 AM	662.6847734	644.6488301	0.033364773	3	12/31/2021	11:04:46 AM	621.6391602	603.6032169	0.031405839
AD1U	12/31/2021	11:03:57 AM	Mg 285.213	621.2776395	-0.007651383	mg/L	4.345414801	1	12/31/2021	11:04:34 AM	669.1984141	652.5818907	-0.007280206	2	12/31/2021	11:04:40 AM	629.4066281	612.7901046	-0.00775202	3	12/31/2021	11:04:46 AM	615.0774466	598.4609232	-0.007921922
AD1U	12/31/2021	11:03:57 AM	Al 396.153	1025.032247	0.081617166	mg/L	2.560103944	1	12/31/2021	11:04:54 AM	1060.249357	1050.546173	0.082805408	2	12/31/2021	11:05:05 AM	1061.025658	1051.322474	0.082841562	3	12/31/2021	11:05:16 AM	982.9312768	973.2280929	0.079204528
AD20	12/31/2021	10:51:12 AM	Fe 238.204	2.597405754	-0.005694397	mg/L	1.705099374	1	12/31/2021	10:52:10 AM	-19.57025715	16.33139867	-0.005607462	2	12/31/2021	10:52:16 AM	-49.85735355	-13.95569773	-0.005799177	3	12/31/2021	10:52:22 AM	-30.4851395	5.416516321	-0.005676553
AD20	12/31/2021	10:51:12 AM	Ca 317.933	477.0595649	0.025366445	mg/L	1.32556604	1	12/31/2021	10:51:49 AM	503.2298172	485.1938739	0.025754661	2	12/31/2021	10:51:55 AM	490.9145432	472.8785998	0.025166905	3	12/31/2021	10:52:02 AM	491.1421643	473.106221	0.025177768
AD20	12/31/2021	10:51:12 AM	Mg 285.213	484.2059675	-0.009276651	mg/L	0.727921635	1	12/31/2021	10:51:49 AM	494.5673397	477.9508163	-0.009350819	2	12/31/2021	10:51:55 AM	502.1926433	485.5761198	-0.009260405	3	12/31/2021	10:52:02 AM	505.7074899	489.0909664	-0.00921873
AD20	12/31/2021	10:51:12 AM	Al 396.153	31124.96663	1.483440194	mg/L	1.664129607	1	12/31/2021	10:52:05 AM	31031.2762	31021.57302	1.478624916	2	12/31/2021	10:52:11 AM	31708.81449	31699.1113	1.510179428	3	12/31/2021	10:52:17 AM	30663.91876	30654.21558	1.461516237
AD20U	12/31/2021	11:10:37 AM	Fe 238.204	121.5868833	-0.004941204	mg/L	1.038558758	1	12/31/2021	11:11:34 AM	94.54653233	130.4481881	-0.004885113	2	12/31/2021	11:11:40 AM	83.86860244	119.7702583	-0.004952703	3	12/31/2021	11:11:47 AM	78.64054763	114.5422035	-0.004985796
AD20U	12/31/2021	11:10:37 AM	Ca 317.933	786.1052991	0.040115892	mg/L	2.124260875	1	12/31/2021	11:11:14 AM	824.7569263	806.720983	0.041099792	2	12/31/2021	11:11:20 AM	793.5823688	775.5464255	0.039611962	3	12/31/2021	11:11:26 AM	794.084432	776.0484887	0.039635923
AD20U	12/31/2021	11:10:37 AM	Mg 285.213	538.8151694	-0.008629146	mg/L	1.321525549	1	12/31/2021	11:11:14 AM	556.5336401	539.9171166	-0.00861608	2	12/31/2021	11:11:20 AM	564.4508385	547.8343151	-0.008522205	3	12/31/2021	11:11:26 AM	545.3105998	528.6940764	-0.008749153
AD20U	12/31/2021	11:10:37 AM	Al 396.153	27808.30613	1.328975702	mg/L	0.124203468	1	12/31/2021	11:11:29 AM	27788.39404	27778.69085	1.32759645	2	12/31/2021	11:11:35 AM	27857.27846	27847.57527	1.330804556	3	12/31/2021	11:11:42 AM	27808.35544	27798.65226	1.328526099
AD3	12/31/2021	10:46:05 AM	Fe 238.204	5.861037912	-0.005673739	mg/L	0.691525298	1	12/31/2021	10:47:07 AM	-32.36888266	3.532773161	-0.005688477	2	12/31/2021	10:47:18 AM	-34.73775891	1.163896913	-0.005703471	3	12/31/2021	10:47:30 AM	-23.01521216	12.88644366	-0.005629269
AD3	12/31/2021	10:46:05 AM	Ca 317.933	690.6892628	0.035562088	mg/L	1.179521648	1	12/31/2021	10:46:42 AM	707.0783415	689.0423982	0.03548349	2	12/31/2021	10:46:48 AM	700.8761158	682.8401725	0.035187484	3	12/31/2021	10:46:54 AM	718.2211609	700.1852176	0.03601529
AD3	12/31/2021	10:46:05 AM	Mg 285.213	581.3099751	-0.008125282	mg/L	3.274513024	1	12/31/2021	10:46:42 AM	623.8366031	607.2200796	-0.007818064	2	12/31/2021	10:46:48 AM	584.8358641	568.2193406	-0.008280499	3	12/31/2021	10:46:54 AM	585.1070286	568.4905052	-0.008277284
AD3	12/31/2021	10:46:05 AM	Al 396.153	3389.057395	0.191715243	mg/L	0.470951298	1	12/31/2021	10:47:02 AM	3397.608281	3387.905097	0.191661578	2	12/31/2021	10:47:13 AM	3418.697777	3408.994593	0.192643764	3	12/31/2021	10:47:24 AM	3379.975679	3370.272495	0.190840387
AD3U	12/31/2021	11:05:47 AM	Fe 238.204	527.1905705	-0.002373767	mg/L	2.049442614	1	12/31/2021	11:06:44 AM	499.6696336	535.5712894	-0.002320717	2	12/31/2021	11:06:50 AM	484.5705954	520.4722512	-0.002416293	3	12/31/2021	11:06:56 AM	489.626515	525.5281708	-0.00238429
AD3U	12/31/2021	11:05:47 AM	Ca 317.933	1024.862998	0.051510789	mg/L	1.157024777	1	12/31/2021	11:06:24 AM	1050.699971	1032.664027	0.051883099	2	12/31/2021	11:06:30 AM	1049.50102	1031.465077	0.051825878	3	12/31/2021	11:06:36 AM	1028.495832	1010.459889	0.05082339
AD3U	12/31/2021	11:05:47 AM	Mg 285.213	612.0752058	-0.007760497	mg/L	2.377216916	1	12/31/2021	11:06:24 AM	642.0763802	625.4598568	-0.007601794	2	12/31/2021	11:06:30 AM	632.3782246	615.7617012	-0.007716786	3	12/31/2021	11:06:36 AM	611.6205829	595.0040594	-0.00796291
AD3U	12/31/2021	11:05:47 AM	Al 396.153	3352.079636	0.189993104	mg/L	0.529485684	1	12/31/2021	11:06:44 AM	3362.454892	3352.751708	0.190024404	2	12/31/2021	11:06:50 AM	3339.854096	3330.150912	0.188971833	3	12/31/2021	11:06:56 AM	3383.039471	3373.336287	0.190983075
AD5	12/31/2021	10:47:54 AM	Fe 238.204	16.54988779	-0.005606079	mg/L	0.72901308	1	12/31/2021	10:48:56 AM	-23.80263755	12.09901827	-0.005634253	2	12/31/2021	10:49:08 AM	-22.30596714	13.59568868	-0.005624779	3	12/31/2021	10:49:19 AM	-11.94669939	23.95495642	-0.005559206
AD5	12/31/2021	10:47:54 AM	Ca 317.933	512.6145569	0.027063334	mg/L	2.902165993	1	12/31/2021	10:48:31 AM	549.63244	531.5964967	0.027969262	2	12/31/2021	10:48:37 AM	520.386763	502.3508197	0.02657349	3	12/31/2021	10:48:44 AM	521.9322977	503.8963544	0.026647251
AD5	12/31/2021	10:47:54 AM	Mg 285.213	571.5344233	-0.008241192	mg/L	1.574278992	1	12/31/2021	10:48:31 AM	600.779499	584.1629755	-0.008091454	2	12/31/2021	10:48:37 AM	581.4964291	564.8799056	-0.008320095	3	12/31/2021	10:48:44 AM	582.1769121	565.5603886	-0.008312026
AD5	12/31/2021	10:47:54 AM	Al 396.153	5271.333266	0.27937715	mg/L	0.708732268	1	12/31/2021	10:48:51 AM	5317.101523	5307.398339	0.281056784	2	12/31/2021	10:49:03 AM	5291.848934	5282.145751	0.279880713	3	12/31/2021	10:49:14 AM	5234.158892	5224.455708	0.277193955
AD5U	12/31/2021	11:07:22 AM	Fe 238.204	284.2996796	-0.003911246	mg/L	0.382399992	1	12/31/2021	11:08:23 AM	246.6630292	282.5646851	-0.003922228	2	12/31/2021	11:08:35 AM	251.0890825	286.9907383	-0.003894212	3	12/31/2021	11:08:46 AM	247.4419597	283.3436155	-0.003917297
AD5U	12/31/2021	11:07:22 AM	Ca 317.933	924.3114491	0.046711888	mg/L	2.445881265	1	12/31/2021	11:07:58 AM	969.8903443	951.854401	0.048026397	2	12/31/2021	11:08:04 AM	930.6069404	912.570997	0.046151566	3	12/31/2021	11:08:11 AM	926.5448925	908.5089492	0.045957702
AD5U	12/31/2021	11:07:22 AM	Mg 285.213	604.3213336	-0.007852435	mg/L	1.315291872	1	12/31/2021	11:07:58 AM	630.940237	614.3237136	-0.007733836	2	12/31/2021	11:08:04 AM	615.0205979	598.4040745	-0.007922596	3	12/31/2021	11:08:11 AM	616.8527362	600.2362127	-0.007900872
AD5U	12/31/2021	11:07:22 AM	Al 396.153	4733.485306	0.254328336	mg/L	0.90141	1	12/31/2021	11:08:18 AM	4799.995397	4790.292213	0.256973965	2	12/31/2021	11:08:30 AM	4716.480327	4706.777143	0.253084476	3	12/31/2021	11:08:41 AM	4713.089746	4703.386562	0.252926569
AH1	12/31/2021	10:22:11 AM	Fe 238.204	1056.321783	0.00097559	mg/L	12.55128354	1	12/31/2021	10:23:08 AM	1029.540176	1065.441832	0.001033319	2	12/31/2021	10:23:14 AM	1033.518752	1069.420408	0.001058503	3	12/31/2021	10:23:21 AM	998.2014537	1034.10311	0.000834947
AH1	12/31/2021	10:22:11 AM	Ca 317.933	587.1699777	0.03062155	mg/L	0.751591812	1	12/31/2021	10:22:48 AM	601.3264084	583.2904651	0.030436397	2	12/31/2021	10:22:54 AM	610.6049873	592.569044	0.030879224	3	12/31/2021	10:23:01 AM	603.6863674	585.6504241	0.030549028
AH1	12/31/2021	10:22:11 AM	Mg 285.213	473.8459843	-0.00939949	mg/L	0.722599803	1	12/31/2021	10:22:48 AM	490.3602974	473.7437739	-0.009400702	2	12/31/2021	10:22:54 AM	496.241215	479.6246916	-0.009330972	3	12/31/2021	10:23:01 AM	484.7860108	468.1694874	-0.009466797
AH1	12/31/2021	10:22:11 AM	Al 396.153	1213.278019	0.090384204	mg/L	0.647788995	1	12/31/2021	10:23:08 AM	1218.624599	1208.921415	0.090181307	2	12/31/2021	10:23:14 AM	1213.167178	1203.463994	0.089927142	3	12/31/2021	10:23:21 AM	1237.15183	1227.448646	0.091044162
AH10	12/31/2021	10:26:48 AM	Fe 238.204	1287.826719	0.002440996	mg/L	6.603522098	1	12/31/2021	10:27:45 AM	1281.13663	1317.038286	0.002625903	2	12/31/2021	10:27:51 AM	1234.406746	1270.308402	0.002330107	3	12/31/2021	10:27:58 AM	1240.231812	1276.133467	0.002366979
AH10	12/31/2021	10:26:48 AM	Ca 317.933	874.1969769	0.044320136	mg/L	1.45005279	1	12/31/2021	10:27:25 AM	902.8080361	884.7720927	0.044824842	2	12/31/2021	10:27:31 AM	877.0735468	859.0376034	0.043596643	3	12/31/2021	10:27:37 AM	896.8171778	878.7812345	0.044538923
AH10	12/31/2021	10:26:48 AM	Mg 285.213	1043.425465	-0.002645946	mg/L	5.645197254	1	12/31/2021	10:27:25 AM	1052.103131	1035.486608	-0.002740077	2	12/31/2021	10:27:31 AM	1053.455536	1036.839013	-0.002724042	3	12/31/2021	10:27:37 AM	1074.567298	1057.950774	-0.002473718
AH10	12/31/2021	10:26:48 AM	Al 396.153	5885.121271	0.307962667	mg/L	0.336943605	1	12/31/2021	10:27:45 AM	5917.384898	5907.681714	0.309013358	2	12/31/2021	10:27:51 AM	5872.834579	5863.131395	0.306938548	3	12/31/2021	10:27:58 AM	5894.253888	5884.550704	0.307936094
AH10A	12/31/2021	11:31:00 AM	Fe 238.204	101.4169763	-0.005068878	mg/L	0.510919257	1	12/31/2021	11:31:57 AM	62.35226343	98.25391925	-0.0050889	2	12/31/2021	11:32:03 AM	64.05786744	99.95952326	-0.005078103	3	12/31/2021	11:32:09 AM	70.13583062	106.0374864	-0.00503963
AH10A	12/31/2021	11:31:00 AM	Ca 317.933	459.0181812	0.024505406	mg/L	3.215363638	1	12/31/2021	11:31:37 AM	488.5353138	470.4993705	0.025053354	2	12/31/2021	11:31:43 AM	484.4933125	466.4573691	0.024860447	3	12/31/2021	11:31:49 AM	458.1337472	440.0978039	0.023602416
AH10A	12/31/2021	11:31:00 AM	Mg 285.213	542.1557703	-0.008589536	mg/L	1.074005806	1	12/31/2021	11:31:37 AM	561.0690709	544.4525475	-0.008562303	2	12/31/2021	11:31:43 AM	550.1021107	533.4855872	-0.008692339	3	12/31/2021	11:31:49 AM	565.1456997	548.5291763	-0.008513966
AH10A	12/31/2021	11:31:00 AM	Al 396.153	9891.011882	0.494526186	mg/L	2.434851671	1	12/31/2021	11:31:52 AM	9754.801062	9745.097878	0.487730636	2	12/31/2021	11:31:58 AM	9748.113351	9738.410167	0.487419174	3	12/31/2021	11:32:04 AM	10199.23078	10189.5276	0.508428748
AH10U	12/31/2021	10:41:00 AM	Fe 238.204	783.044363	-0.000754234	mg/L	25.89162643	1	12/31/2021	10:41:58 AM	782.0904563	817.9921121	-0.000533017	2	12/31/2021	10:42:04 AM	723.6883134	759.5899692	-0.000902698	3	12/31/2021	10:42:10 AM	735.6493518	771.5510076	-0.000826986
AH10U	12/31/2021	10:41:00 AM	Ca 317.933	588.0819562	0.030665075	mg/L	4.472518909	1	12/31/2021	10:41:38 AM	634.6474184	616.6114751	0.032026668	2	12/31/2021	10:41:44 AM	577.1775874	559.1416441	0.029283876	3	12/31/2021	10:41:50 AM	606.5286927	588.4927493	0.03068468
AH10U	12/31/2021	10:41:00 AM	Mg 285.213	503.1839423	-0.009051628	mg/L	2.153514621	1	12/31/2021	10:41:38 AM	534.3197177	517.7031942	-0.008879472	2	12/31/2021	10:41:44 AM	523.1314583	506.5149348	-0.009012132	3	12/31/2021	10:41:50 AM	501.9502213	485.3336978	-0.00926328
AH10U	12/31/2021	10:41:00 AM	Al 396.153	5487.589289	0.28944869	mg/L	0.731246395	1	12/31/2021	10:41:58 AM	5544.741077	5535.037893	0.29165848	2	12/31/2021	10:42:04 AM	5492.982746	5483.279562	0.289247976	3	12/31/2021	10:42:10 AM	5454.153596	5444.450412	0.287439613
AH10UA	12/31/2021	11:39:40 AM	Fe 238.204	110.6536372	-0.005010411	mg/L	1.516955496	1	12/31/2021	11:40:37 AM	88.46284288	124.3644987	-0.004923622	2	12/31/2021	11:40:43 AM	66.11151787	102.0131737	-0.005065104	3	12/31/2021	11:40:49 AM	69.68158349	105.5832393	-0.005042506
AH10UA	12/31/2021	11:39:40 AM	Ca 317.933	443.3259344	0.023756481	mg/L	1.649286702	1	12/31/2021	11:40:17 AM	467.856721	449.8207777	0.024066453	2	12/31/2021	11:40:23 AM	464.0945317	446.0585884	0.023886899	3	12/31/2021	11:40:29 AM	452.1343805	434.0984372	0.023316092
AH10UA	12/31/2021	11:39:40 AM	Mg 285.213	470.7484047	-0.009436219	mg/L	1.677402737	1	12/31/2021	11:40:17 AM	491.6697784	475.0532549	-0.009385176	2	12/31/2021	11:40:23 AM	498.0306354	481.4141119	-0.009309755	3	12/31/2021	11:40:29 AM	472.3943707	455.7778473	-0.009613726
AH10UA	12/31/2021	11:39:40 AM	Al 396.153	10332.06997	0.515067274	mg/L	0.629414263	1	12/31/2021	11:40:32 AM	10261.86713	10252.16394	0.511345867	2	12/31/2021	11:40:38 AM	10374.18621	10364.48303	0.516576824	3	12/31/2021	11:40:44 AM	10389.26611	10379.56293	0.51727913
AH1A	12/31/2021	11:25:40 AM	Fe 238.204	87.46877285	-0.005157169	mg/L	0.427159607	1	12/31/2021	11:26:42 AM	51.36952565	87.27118147	-0.00515842	2	12/31/2021	11:26:54 AM	48.18992729	84.09158311	-0.005178546	3	12/31/2021	11:27:05 AM	55.14189816	91.04355398	-0.005134541
AH1A	12/31/2021	11:25:40 AM	Ca 317.933	650.2052583	0.033629957	mg/L	13.49347727	1	12/31/2021	11:26:17 AM	769.9725411	751.9365978	0.038485165	2	12/31/2021	11:26:24 AM	653.132927	635.0969837	0.032908903	3	12/31/2021	11:26:30 AM	581.6181368	563.5821935	0.029495804
AH1A	12/31/2021	11:25:40 AM	Mg 285.213	620.6586012	-0.007658723	mg/L	7.663566569	1	12/31/2021	11:26:17 AM	693.7689801	677.1524566	-0.006988871	2	12/31/2021	11:26:24 AM	616.5538508	599.9373274	-0.007904416	3	12/31/2021	11:26:30 AM	601.5025431	584.8860196	-0.008082881
AH1A	12/31/2021	11:25:40 AM	Al 396.153	2769.325065	0.162852886	mg/L	0.123905048	1	12/31/2021	11:26:37 AM	2782.818736	2773.115552	0.163029418	2	12/31/2021	11:26:49 AM	2779.960776	2770.257592	0.162896316	3	12/31/2021	11:27:00 AM	2774.305234	2764.60205	0.162632924
AH1U	12/31/2021	10:36:29 AM	Fe 238.204	761.1297053	-0.000892952	mg/L	10.9638391	1	12/31/2021	10:37:26 AM	743.0179707	778.9196265	-0.000780343	2	12/31/2021	10:37:32 AM	717.6940648	753.5957206	-0.000940641	3	12/31/2021	10:37:38 AM	714.972113	750.8737688	-0.000957871
AH1U	12/31/2021	10:36:29 AM	Ca 317.933	705.0927029	0.036249503	mg/L	8.476323104	1	12/31/2021	10:37:06 AM	793.335027	775.2990837	0.039600157	2	12/31/2021	10:37:12 AM	709.1959334	691.1599901	0.035584554	3	12/31/2021	10:37:18 AM	666.8549783	648.819035	0.033563799
AH1U	12/31/2021	10:36:29 AM	Mg 285.213	637.5702919	-0.0074582	mg/L	10.39283271	1	12/31/2021	10:37:06 AM	728.4967451	711.8802217	-0.006577101	2	12/31/2021	10:37:12 AM	628.5209247	611.9044013	-0.007762522	3	12/31/2021	10:37:18 AM	605.5427762	588.9262527	-0.008034975
AH1U	12/31/2021	10:36:29 AM	Al 396.153	1322.752944	0.095482702	mg/L	1.248734233	1	12/31/2021	10:37:26 AM	1352.559434	1342.85625	0.096418959	2	12/31/2021	10:37:32 AM	1341.175054	1331.47187	0.095888763	3	12/31/2021	10:37:38 AM	1303.633896	1293.930712	0.094140385
